id,lang,query,rag_http_ok,baseline_http_ok,rag_latency_ms,baseline_latency_ms,rag_retrieved_count,baseline_retrieved_count,rag_top_source,baseline_top_source,rag_answer_short,baseline_answer_short,manual_better,manual_note
Q19,zh,被裁減資遣後，還可以繼續參加勞工保險嗎？,True,True,2115,1608,3,0,承保部分-繼續加保,," 摘要
- 被裁減資遣後，您可以繼續參加勞工保險，但需符合相關規定。

 檢查清單
1. 確認您符合「被裁減資遣被保險人繼續參加勞工保險及保險給付辦法」的規定。
2. 準備繼續加保申請書。
3. 準備裁減資遣證明文件或地方主管機關的證明文件。
4. 在離職退保當日起兩年內辦理。
5. 申請書送達保險人或郵寄，以郵戳為準。

 資料來源
- 承保部分-繼續加保 – [連結](https://www.bli.gov.tw/0013037.h…","摘要
- 被裁減資遣後，通常無法繼續以原雇主名義參加勞工保險，但可以考慮其他選擇。

檢查清單
1. 確認是否符合失業給付的資格。
2. 了解是否可以透過其他工作或以自願投保的方式繼續參加勞工保險。
3. 考慮是否需要其他形式的保險來填補保障。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q2,zh,台北勞保局的服務時間？櫃台幾點到幾點？,True,True,210,1769,1,0,台北市辦事處辦事處,,"**台北市辦事處辦事處**
- 地址：台北市辦事處 台北市羅斯福路1段4號1樓
- 服務時間：週一至週五　08：30~17：30
- 電話：02-23216884
- 官方連結：https://www.bli.gov.tw/0009139.html
小提醒：建議先電話確認是否需預約與攜帶文件。","摘要
- 台北勞保局的服務時間通常是週一至週五的上班時間，具體時間可能會有所不同。

檢查清單
1. 確認台北勞保局的具體地址和聯絡方式。
2. 一般來說，政府機構的服務時間是上午8:30到下午5:30。
3. 建議提前致電確認，以確保服務時間未有臨時變動。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q20,zh,本國人或外籍配偶擔任家庭幫傭、看護時，參加勞保要注意什麼？,True,True,1735,2284,4,0,本國人與外籍配偶及大陸港澳配偶擔任家庭幫傭看護及居家式托育服務提供者參加勞工保險及勞工職業災害保險審查作業注意事項,," 摘要
- 本國人與外籍配偶擔任家庭幫傭、看護時，需依規定參加勞工保險。

 檢查清單
1. 確認是否具中華民國國籍或為外籍配偶。
2. 確認外籍配偶是否獲准居留並在台灣工作。
3. 受僱於自然人雇主時，需辦理勞工保險。

 資料來源
- 本國人與外籍配偶及大陸港澳配偶擔任家庭幫傭看護及居家式托育服務提供者參加勞工保險及勞工職業災害保險審查作業注意事項 – [連結](https://www.bli.gov.tw/0102426.html…","摘要
- 本國人或外籍配偶擔任家庭幫傭、看護時，參加勞保需要注意資格、申請程序及相關規定。

檢查清單
1. 確認勞保資格：確認家庭幫傭或看護是否符合勞保參加資格。
2. 申請程序：了解如何為家庭幫傭或看護申請勞保，通常需要雇主協助辦理。
3. 保費繳納：確認保費的計算方式及繳納期限，確保按時繳納。
4. 權益了解：了解勞保提供的保障及權益，如醫療、失能、退休等。
5. 法規遵循：確保遵循相關法律法規，避免違法情況。

資料來源
- 無…",,
Q21,zh,職業災害勞工在醫療期間退保後，還能繼續參加勞工保險嗎？,True,True,1748,1720,5,0,職業災害勞工醫療期間退保繼續參加勞工保險辦法,," 摘要
職業災害勞工在醫療期間退保後，可以自願繼續參加勞工保險。

 檢查清單
1. 確認您是職業災害勞工。
2. 在醫療期間終止勞動契約並退保。
3. 自願繼續參加勞工保險。
4. 以勞工團體或保險人委託之團體為投保單位辦理續保。
5. 或直接向保險人申請續保。

 資料來源
- 職業災害勞工醫療期間退保繼續參加勞工保險辦法 – [連結](https://www.bli.gov.tw/0102431.html)

註：本服務提供一般性…","摘要
- 職業災害勞工在醫療期間退保後，通常仍可繼續參加勞工保險，但具體情況可能需視當地法律和政策而定。

檢查清單
1. 確認當地勞工保險政策對於職業災害勞工的規定。
2. 聯繫相關保險機構或勞工單位，了解退保後重新參加保險的程序。
3. 準備相關文件，如醫療證明和退保證明，以便重新申請保險。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q22,zh,就業保險法罰鍰應行注意事項的重點是什麼？,True,True,1427,1541,5,0,就業保險法罰鍰應行注意事項,,"摘要
- 就業保險法罰鍰的重點是針對不當行為處以罰鍰。

檢查清單
1. 以詐欺或不正當行為領取保險給付，處以二倍罰鍰。
2. 虛偽證明、報告或陳述者，依規定處罰。

資料來源
- 就業保險法罰鍰應行注意事項 – [連結](https://www.bli.gov.tw/0102427.html)

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。","摘要
- 就業保險法罰鍰應行注意事項主要涉及遵循法律規定、確保正確申報及繳納保險費，以及避免違規行為以免受罰。

檢查清單
1. 確保按時申報及繳納就業保險費。
2. 確認所有申報資料的準確性及完整性。
3. 定期檢查相關法規更新，確保遵循最新規定。
4. 若有疑問，及時諮詢專業人士或相關機構。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q23,zh,身心障礙者參加社會保險時，保險費補助辦法主要在規定什麼？,True,True,1735,1717,5,0,身心障礙者參加社會保險保險費補助辦法 (民國92年4月11日 修正),," 摘要
- 身心障礙者參加社會保險時，保險費可獲得補助，需經由政府申報確認。

 檢查清單
1. 政府每月五日前申報身心障礙者資料。
2. 保險人依據申報資料確認後減免保險費。
3. 減免保險費直接反映在投保單位的保險費計算表中。

 資料來源
- 身心障礙者參加社會保險保險費補助辦法 – [連結](https://www.bli.gov.tw/0102424.html)

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。"," 摘要
- 身心障礙者參加社會保險時，保險費補助辦法主要規定補助的對象、補助的範圍及比例，以及申請程序等。

 檢查清單
1. 確認身心障礙者是否符合補助資格。
2. 確認補助範圍，通常包括醫療保險、勞工保險等。
3. 確認補助比例，可能是部分或全額補助。
4. 瞭解申請程序，包括所需文件和申請時間。

 資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q24,zh,災區受災勞工的保險費支應和傷病給付有什麼規定？,True,True,1989,1761,5,0,災區受災勞工保險與勞工職業災害保險及就業保險被保險人保險費支應及傷病給付辦法,," 摘要
災區受災勞工可申請傷病給付，期間最多六個月。

 檢查清單
1. 若因災害受傷病不能工作，您可以向勞保局申請傷病給付。
2. 給付期間最多六個月，每月以三十日計算。
3. 普通事故給付為平均月投保薪資的50%。
4. 職業災害給付為平均月投保薪資的70%。

 資料來源
- 災區受災勞工保險與勞工職業災害保險及就業保險被保險人保險費支應及傷病給付辦法 – [連結](https://www.bli.gov.tw/0102448.h…"," 摘要
- 災區受災勞工的保險費支應和傷病給付通常會有特別規定，以協助受災勞工度過困難時期。這些規定可能包括保險費減免、延遲繳納以及加速傷病給付的程序。

 檢查清單
1. 確認是否有政府或保險機構針對災區勞工推出特別政策。
2. 查詢是否有保險費減免或延遲繳納的選項。
3. 確認傷病給付的申請程序是否有加速或簡化。
4. 聯繫相關機構以獲取具體的支援措施和申請流程。

 資料來源
- 無檢索來源（LLM-only baseline）。…",,
Q25,zh,公職候選人僱用競選活動工作人員時，參加勞保和就保要注意什麼？,True,True,1637,2636,4,0,公職人員擬參選人及候選人僱用從事競選活動工作人員參加勞工保險及就業保險注意事項,,"摘要
- 公職候選人僱用競選工作人員需參加勞保、就保及職保。

檢查清單
1. 擬參選人或候選人需為投保單位。
2. 需填寫投保申請書及加保申報表。
3. 準備國民身分證影本。
4. 準備政治獻金開戶許可函或候選人登記公文影本。
5. 僱傭關係消滅時，需辦理退保。

資料來源
- 公職人員擬參選人及候選人僱用從事競選活動工作人員參加勞工保險及就業保險注意事項 — [連結](https://www.bli.gov.tw/0102434.h…","摘要
- 公職候選人在僱用競選活動工作人員時，需注意勞工保險和就業保險的相關規定，以確保合法合規。

檢查清單
1. 確認工作人員的雇用性質：判斷是全職、兼職還是臨時工，這會影響保險的適用性。
2. 勞工保險：確保符合勞工保險條例的規定，為符合條件的工作人員投保。
3. 就業保險：檢查是否需要為工作人員提供就業保險，特別是對於全職或長期僱用的員工。
4. 合同與文件：準備並簽署合適的雇用合同，明確保險責任和其他相關條款。
5. 法規更新…",,
Q26,zh,投保單位線上預辦加保及退保試辦作業要點是什麼？,True,True,2917,1703,5,0,勞工保險與就業保險及勞工職業災害保險投保單位線上預辦加保及退保試辦作業要點,," 摘要
- 投保單位可在勞工到職或離職前10天內，線上預辦加保或退保。

 檢查清單
1. 確認勞工的到職或離職日期。
2. 在日期前10天內，於系統上預辦加保或退保。
3. 上傳資料後，確認上傳是否成功。
4. 若系統故障，待恢復後再上傳。
5. 確保預定日期與實際日期一致。

 資料來源
- 勞工保險與就業保險及勞工職業災害保險投保單位線上預辦加保及退保試辦作業要點 – [連結](https://www.bli.gov.tw/010…","摘要
- 投保單位線上預辦加保及退保試辦作業要點是指透過線上系統進行保險加保及退保的試行規範。

檢查清單
1. 確認投保單位是否符合線上預辦加保及退保的資格。
2. 登錄相關線上系統，並按照指示進行加保或退保操作。
3. 提交所需文件或資料以完成申請。
4. 確認申請狀態並保存相關紀錄。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q27,zh,如果對勞工保險爭議事項不服，審議辦法大概處理什麼？,True,True,1488,1545,3,0,勞工保險爭議事項審議辦法,," 摘要
- 若對勞工保險爭議不服，您可以申請審議。

 檢查清單
1. 確認爭議事項是否包括資格、薪資、保險費等。
2. 在接到核定通知後60日內，填寫審議申請書。
3. 檢附相關證件，向勞保局申請審議。

 資料來源
- 勞工保險爭議事項審議辦法 – https://www.bli.gov.tw/0102420.html

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。","摘要
- 勞工保險爭議事項不服時，通常可以透過申訴或行政訴訟等程序進行處理。

檢查清單
1. 確認爭議事項的性質和範圍。
2. 向相關勞工保險機構提出申訴或異議。
3. 若申訴未果，考慮進一步提起行政訴訟。
4. 收集相關證據和文件以支持申訴或訴訟。
5. 諮詢法律專業人士以獲得進一步指導。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q28,zh,勞工保險條例施行細則和勞工保險條例有什麼關係？,True,True,1470,1399,5,0,勞工保險條例施行細則,,"摘要
- 勞工保險條例施行細則是依據勞工保險條例制定的，提供更詳細的執行規範。

檢查清單
1. 勞工保險條例施行細則依據勞工保險條例第七十七條制定。
2. 細則提供條例的詳細執行規範。

資料來源
- 勞工保險條例施行細則 – [連結](https://www.bli.gov.tw/0102421.html)

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。","摘要
- 勞工保險條例施行細則是為了具體執行勞工保險條例而制定的細節規範。

檢查清單
1. 勞工保險條例提供了勞工保險的基本法律框架和原則。
2. 施行細則則詳細說明了如何實際執行這些法律規定。
3. 細則通常包括具體的程序、申請方式、計算方法等。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q29,zh,投保單位在承保部分常見需要注意哪些事項？,True,True,2023,2108,5,0,勞工保險條例施行細則,," 摘要
投保單位需注意申報加保、補正資料及保險效力的生效日期。

 檢查清單
1. 員工到職當日需辦理加保。
2. 收到補正通知後，應於10日內補正。
3. 加保申報表應以公信力方式寄送。
4. 逾期補正，保險自補正翌日生效。
5. 投保單位負責人可用簽名代替印章。

 資料來源
- 勞工保險條例施行細則 – [連結](https://www.bli.gov.tw/0102421.html)
- 承保部分-保險效力 – [連結](htt…","摘要
- 投保單位在承保部分需要注意保險範圍、保費計算、保單條款等事項。

檢查清單
1. 確認保險範圍：了解保單涵蓋的風險和不承保的例外情況。
2. 檢查保費計算：確保保費計算正確，並了解支付方式和頻率。
3. 閱讀保單條款：仔細閱讀保單條款，特別是有關索賠程序和責任限制的部分。
4. 確認保單有效期：了解保單的生效日期和到期日期。
5. 檢查承保金額：確認承保金額是否符合需求，並考慮是否需要額外的附加險。
6. 了解索賠程序：熟悉索…",,
Q3,zh,勞保失能給付第 1 級與第 15 級的給付日數是多少？,True,True,5,1775,1,0,各失能等級之給付標準,,"摘要
- 已查到您詢問的失能等級給付日數。

檢查清單
1. 第1級：普通傷病 1200日；職業傷病 1800日
2. 第15級：普通傷病 30日；職業傷病 45日

資料來源
- 各失能等級之給付標準

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。"," 摘要
- 勞保失能給付的級別影響給付日數，第 1 級與第 15 級的給付日數不同。

 檢查清單
1. 第 1 級失能給付通常是最高的，給付日數較多。
2. 第 15 級失能給付通常是最低的，給付日數較少。
3. 具體的給付日數可能需要查閱相關法規或官方文件以獲得準確資訊。

 資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q30,zh,被保險人在勞保承保規定中要注意哪些資格或身分問題？,True,True,1647,1995,5,0,承保部分-被保險人,," 摘要
- 勞保被保險人需符合年齡、僱傭關係等資格。

 檢查清單
1. 年齡需滿15歲以上，65歲以下。
2. 需受僱於僱用5人以上的單位。
3. 確認僱傭關係存在。
4. 若被裁減資遣，需年資滿15年才能續保。
5. 離職原因需符合規定才能續保。

 資料來源
- 承保部分-被保險人 – [連結](https://www.bli.gov.tw/0013035.html)
- 承保部分-繼續加保 – [連結](https://www.…","摘要
- 勞保承保資格涉及年齡、工作性質及雇主等因素，需符合特定條件才能參加。

檢查清單
1. 年齡限制：通常需年滿15歲以上，未滿65歲。
2. 工作性質：必須是受僱於有勞保義務的單位，如公司、工廠等。
3. 雇主責任：雇主需依法為員工投保，並按時繳納保費。
4. 特殊身分：部分身分如自營業者、家務勞動者等可能有不同規定。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q31,zh,勞保的保險效力什麼時候開始或停止？,True,True,1973,1483,5,0,勞工保險條例施行細則,," 摘要
- 勞保效力從到職當日開始，離職當日停止。

 檢查清單
1. 勞工到職當日零時起，保險效力開始。
2. 離職當日二十四時，保險效力停止。
3. 投保單位需在到職或離職當日辦理加保或退保。
4. 若非當日辦理，效力仍以到職或離職當日計算。
5. 郵寄文件以郵戳日期為準。

 資料來源
- 勞工保險條例施行細則 – https://www.bli.gov.tw/0102421.html

註：本服務提供一般性說明，非法律意見；請以…","摘要
- 勞保的保險效力通常在投保單位申報後的次日開始，停止則在申報退保後的次日。

檢查清單
1. 確認勞工被投保單位申報加入勞保。
2. 保險效力通常在申報加入的次日開始。
3. 若勞工離職或其他原因需退保，效力在申報退保的次日停止。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q32,zh,什麼情況可以辦理勞保繼續加保？,True,True,1742,1610,3,0,承保部分-繼續加保,," 摘要
- 勞保繼續加保適用於留職停薪、職業災害或被裁減資遣等情況。

 檢查清單
1. 勞動契約仍存在，符合留職停薪規定。
2. 職業災害勞工，依職災續保辦法加保。
3. 被裁減資遣者，於離職退保後二年內再受僱後又離職。

 資料來源
- 承保部分-繼續加保 — https://www.bli.gov.tw/0013037.html
- 被裁減資遣被保險人繼續參加勞工保險及保險給付辦法 — https://www.bli.gov.tw…","摘要
- 勞保繼續加保通常適用於某些特定情況，例如退休後仍有工作、暫時離職或其他符合條件的情況。

檢查清單
1. 確認是否符合勞保局規定的繼續加保條件，例如退休後仍有工作收入。
2. 準備相關文件，如身份證明、工作證明等。
3. 向勞保局或相關單位提出申請，並填寫必要的表格。
4. 確認申請是否獲得批准，並了解後續的繳費安排。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q33,zh,職業工會或漁會會員欠繳勞保保險費時，會怎麼處理？,True,True,3814,2680,5,0,職業工會漁會會員參加勞工保險欠繳保險費處理要點,," 摘要
- 欠繳保險費會被催繳，若仍未繳納，將移送行政執行。

 檢查清單
1. 工會或漁會會催繳欠費。
2. 若未繳納，會移送行政執行。
3. 欠費名冊需送交勞保局。

 資料來源
- 職業工會漁會會員參加勞工保險欠繳保險費處理要點 — [連結](https://www.bli.gov.tw/0102452.html)

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。","摘要
- 當職業工會或漁會會員欠繳勞保保險費時，通常會有一定的程序來處理欠繳問題，包括催繳通知和可能的法律行動。

檢查清單
1. 發送催繳通知：工會或漁會通常會先發送催繳通知給欠繳會員，提醒其繳納欠款。
2. 設定繳款期限：通知中會設定一個繳款期限，要求會員在期限內繳清欠款。
3. 暫停保險權益：若會員在期限內未繳清，可能會暫停其勞保相關權益。
4. 法律行動：持續欠繳可能導致工會或漁會採取法律行動以追討欠款。

資料來源
- 無檢索…",,
Q34,zh,勞保欠費可以分期攤繳嗎？作業須知重點是什麼？,True,True,1736,2052,4,0,勞動部勞工保險局欠費分期攤繳作業須知,," 摘要
- 勞保欠費可以申請分期攤繳。需依照勞動部勞工保險局的作業須知辦理。

 檢查清單
1. 確認欠費是否符合分期攤繳的條件。
2. 準備相關申請資料。
3. 向勞動部勞工保險局提出申請。
4. 按照核准的分期計畫繳納欠費。

 資料來源
- 勞動部勞工保險局欠費分期攤繳作業須知 — https://www.bli.gov.tw/0102449.html

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。","摘要
- 勞保欠費通常可以申請分期攤繳，但具體規定可能因地區和政策而異。

檢查清單
1. 確認欠費金額和分期攤繳的資格。
2. 聯絡當地勞保機構或相關單位，了解申請分期攤繳的程序。
3. 準備必要的文件，如身份證明、欠費通知等。
4. 填寫申請表格，並提交至指定的辦公室或平台。
5. 確認分期攤繳的計畫和每期應繳金額。
6. 按時繳納每期費用，避免影響信用或產生額外罰款。

資料來源
- 無檢索來源（LLM-only baseline…",,
Q35,zh,勞保局欠費催收及轉銷呆帳處理要點主要處理哪些事情？,True,True,2002,2185,4,0,勞動部勞工保險局欠費催收及轉銷呆帳處理要點,," 摘要
- 勞保局欠費催收及轉銷呆帳處理要點主要處理欠費催收、呆帳轉銷及相關資料管理。

 檢查清單
1. 催收欠費，取得執行憑證並妥善保管。
2. 發現可執行財產時，移送法務部執行。
3. 轉銷呆帳後，記錄收回數額。
4. 對於被保險人或受益人，電腦資料中註記列管。
5. 逾期未償還貸款的催收及呆帳轉銷，依本要點辦理。

 資料來源
- 勞動部勞工保險局欠費催收及轉銷呆帳處理要點 — [連結](https://www.bli.gov.…","摘要
- 勞保局欠費催收及轉銷呆帳處理要點主要處理欠費催收、呆帳認定及轉銷程序。

檢查清單
1. 欠費催收：確保及時通知欠費單位或個人，並提供繳費指引。
2. 呆帳認定：評估欠費是否無法收回，並確定呆帳標準。
3. 轉銷程序：對於已確認的呆帳，進行正式的財務轉銷處理。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q36,zh,職業工會和漁會辦理勞保業務補助作業要點是什麼？,True,True,2273,2123,5,0,職業工會漁會辦理勞工保險及勞工職業災害保險業務補助作業要點,," 摘要
職業工會和漁會辦理勞保業務有特定補助要點，需達成一定條件才能獲得補助。

 檢查清單
1. 按時彙繳當月勞保費人數達計費人數95%以上。
2. 每年2月底及8月底前，提交保險費收繳明細。
3. 若有遲繳紀錄，需按月檢送資料。

 資料來源
- 職業工會漁會辦理勞工保險及勞工職業災害保險業務補助作業要點 — https://www.bli.gov.tw/0102454.html

註：本服務提供一般性說明，非法律意見；請以勞保局公…","摘要
- 職業工會和漁會辦理勞保業務補助作業要點通常涉及補助的申請資格、申請程序、補助金額及使用範圍等。

檢查清單
1. 確認申請資格：通常需要是工會或漁會的成員，並符合特定條件。
2. 準備申請文件：包括身份證明、工會或漁會的會員證明等。
3. 遞交申請：按照規定的程序和時間提交申請。
4. 等待審核：相關單位會對申請進行審核，確保符合補助條件。
5. 獲得補助：審核通過後，會發放補助金。

資料來源
- 無檢索來源（LLM-onl…",,
