id,category,target,top_source,retrieved_count,match_top,match_any,latency_ms,route,answer_short
Q13,office_lookup,新北市辦事處,新北市辦事處辦事處,1,True,True,210,office_lookup,**新北市辦事處辦事處** - 地址：新北市辦事處 新北市新莊區中平路439號南棟1樓 - 服務時間：週一至週五　08：30~17：30 - 電話：02-89952100 - 官方連結：https://www.bli.gov.tw/0009139.html 小提醒：建議先電話確認是否需預約與攜帶文件。
Q14,office_lookup,高雄市第二辦事處,高雄市第二辦事處辦事處,1,True,True,217,office_lookup,**高雄市第二辦事處辦事處** - 地址：高雄市第二辦事處 高雄市鳳山區復興街6號 - 服務時間：週一至週五　08：30~17：30 - 電話：07-7462500 - 官方連結：https://www.bli.gov.tw/0009139.html 小提醒：建議先電話確認是否需預約與攜帶文件。
Q15,office_lookup,桃園辦事處,桃園辦事處辦事處,1,True,True,212,office_lookup,**桃園辦事處辦事處** - 地址：桃園辦事處 桃園市縣府路26號 - 服務時間：週一至週五　08：30~17：30 - 電話：03-3350003 - 官方連結：https://www.bli.gov.tw/0009139.html 小提醒：建議先電話確認是否需預約與攜帶文件。
Q16,office_lookup,花蓮辦事處,花蓮辦事處辦事處,1,True,True,216,office_lookup,**花蓮辦事處辦事處** - 地址：花蓮辦事處 花蓮縣花蓮市富吉路43號 - 服務時間：週一至週五　08：30~17：30 - 電話：03-8572256 - 官方連結：https://www.bli.gov.tw/0009139.html 小提醒：建議先電話確認是否需預約與攜帶文件。
Q17,office_lookup,馬祖辦事處,馬祖辦事處辦事處,1,True,True,206,office_lookup,**馬祖辦事處辦事處** - 地址：馬祖辦事處 連江縣馬祖南竿鄉介壽村47-4號 - 服務時間：週一至週五　08：30~17：30 - 電話：0836-22467 - 官方連結：https://www.bli.gov.tw/0009139.html 小提醒：建議先電話確認是否需預約與攜帶文件。
Q18,office_lookup,台北市辦事處,台北市辦事處辦事處,1,True,True,233,office_lookup,**台北市辦事處辦事處** - Address: 台北市辦事處 台北市羅斯福路1段4號1樓 - Hours: 週一至週五　08：30~17：30 - Phone: 02-23216884 - Official link: https://www.bli.gov.tw/0009139.html Tip: Call ahead to confirm whether an appointment or documents are requir
Q19,coverage_continuation,被裁減資遣被保險人繼續參加勞工保險及保險給付辦法,承保部分-繼續加保,3,False,True,2115,rag, 摘要 - 被裁減資遣後，您可以繼續參加勞工保險，但需符合相關規定。   檢查清單 1. 確認您符合「被裁減資遣被保險人繼續參加勞工保險及保險給付辦法」的規定。 2. 準備繼續加保申請書。 3. 準備裁減資遣證明文件或地方主管機關的證明文件。 4. 在離職退保當日起兩年內辦理。 5. 申請書送達保險人或郵寄，以郵戳為準。   資料來源 - 承保部分-繼續加保 – [連結](https://www.bli.gov.tw/0013037.h
Q20,coverage_rules,本國人與外籍配偶及大陸港澳配偶擔任家庭幫傭看護及居家式托育服務提供者參加勞工保險及勞工職業災害保險審查作業注意事項,本國人與外籍配偶及大陸港澳配偶擔任家庭幫傭看護及居家式托育服務提供者參加勞工保險及勞工職業災害保險審查作業注意事項,4,True,True,1735,rag, 摘要 - 本國人與外籍配偶擔任家庭幫傭、看護時，需依規定參加勞工保險。   檢查清單 1. 確認是否具中華民國國籍或為外籍配偶。 2. 確認外籍配偶是否獲准居留並在台灣工作。 3. 受僱於自然人雇主時，需辦理勞工保險。   資料來源 - 本國人與外籍配偶及大陸港澳配偶擔任家庭幫傭看護及居家式托育服務提供者參加勞工保險及勞工職業災害保險審查作業注意事項 – [連結](https://www.bli.gov.tw/0102426.html
Q21,coverage_continuation,職業災害勞工醫療期間退保繼續參加勞工保險辦法,職業災害勞工醫療期間退保繼續參加勞工保險辦法,5,True,True,1748,rag, 摘要 職業災害勞工在醫療期間退保後，可以自願繼續參加勞工保險。   檢查清單 1. 確認您是職業災害勞工。 2. 在醫療期間終止勞動契約並退保。 3. 自願繼續參加勞工保險。 4. 以勞工團體或保險人委託之團體為投保單位辦理續保。 5. 或直接向保險人申請續保。   資料來源 - 職業災害勞工醫療期間退保繼續參加勞工保險辦法 – [連結](https://www.bli.gov.tw/0102431.html)  註：本服務提供一般性
Q22,penalty_guidance,就業保險法罰鍰應行注意事項,就業保險法罰鍰應行注意事項,5,True,True,1427,rag,摘要 - 就業保險法罰鍰的重點是針對不當行為處以罰鍰。  檢查清單 1. 以詐欺或不正當行為領取保險給付，處以二倍罰鍰。 2. 虛偽證明、報告或陳述者，依規定處罰。  資料來源 - 就業保險法罰鍰應行注意事項 – [連結](https://www.bli.gov.tw/0102427.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q23,premium_subsidy,身心障礙者參加社會保險保險費補助辦法,身心障礙者參加社會保險保險費補助辦法 (民國92年4月11日 修正),5,True,True,1735,rag, 摘要 - 身心障礙者參加社會保險時，保險費可獲得補助，需經由政府申報確認。   檢查清單 1. 政府每月五日前申報身心障礙者資料。 2. 保險人依據申報資料確認後減免保險費。 3. 減免保險費直接反映在投保單位的保險費計算表中。   資料來源 - 身心障礙者參加社會保險保險費補助辦法 – [連結](https://www.bli.gov.tw/0102424.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q24,disaster_support,災區受災勞工保險與勞工職業災害保險及就業保險被保險人保險費支應及傷病給付辦法,災區受災勞工保險與勞工職業災害保險及就業保險被保險人保險費支應及傷病給付辦法,5,True,True,1989,rag, 摘要 災區受災勞工可申請傷病給付，期間最多六個月。   檢查清單 1. 若因災害受傷病不能工作，您可以向勞保局申請傷病給付。 2. 給付期間最多六個月，每月以三十日計算。 3. 普通事故給付為平均月投保薪資的50%。 4. 職業災害給付為平均月投保薪資的70%。   資料來源 - 災區受災勞工保險與勞工職業災害保險及就業保險被保險人保險費支應及傷病給付辦法 – [連結](https://www.bli.gov.tw/0102448.h
Q25,coverage_rules,公職人員擬參選人及候選人僱用從事競選活動工作人員參加勞工保險及就業保險注意事項,公職人員擬參選人及候選人僱用從事競選活動工作人員參加勞工保險及就業保險注意事項,4,True,True,1637,rag,摘要 - 公職候選人僱用競選工作人員需參加勞保、就保及職保。  檢查清單 1. 擬參選人或候選人需為投保單位。 2. 需填寫投保申請書及加保申報表。 3. 準備國民身分證影本。 4. 準備政治獻金開戶許可函或候選人登記公文影本。 5. 僱傭關係消滅時，需辦理退保。  資料來源 - 公職人員擬參選人及候選人僱用從事競選活動工作人員參加勞工保險及就業保險注意事項 — [連結](https://www.bli.gov.tw/0102434.h
Q26,online_enrollment,勞工保險與就業保險及勞工職業災害保險投保單位線上預辦加保及退保試辦作業要點,勞工保險與就業保險及勞工職業災害保險投保單位線上預辦加保及退保試辦作業要點,5,True,True,2917,rag, 摘要 - 投保單位可在勞工到職或離職前10天內，線上預辦加保或退保。   檢查清單 1. 確認勞工的到職或離職日期。 2. 在日期前10天內，於系統上預辦加保或退保。 3. 上傳資料後，確認上傳是否成功。 4. 若系統故障，待恢復後再上傳。 5. 確保預定日期與實際日期一致。   資料來源 - 勞工保險與就業保險及勞工職業災害保險投保單位線上預辦加保及退保試辦作業要點 – [連結](https://www.bli.gov.tw/010
Q27,dispute_review,勞工保險爭議事項審議辦法,勞工保險爭議事項審議辦法,3,True,True,1488,rag, 摘要 - 若對勞工保險爭議不服，您可以申請審議。   檢查清單 1. 確認爭議事項是否包括資格、薪資、保險費等。 2. 在接到核定通知後60日內，填寫審議申請書。 3. 檢附相關證件，向勞保局申請審議。   資料來源 - 勞工保險爭議事項審議辦法 – https://www.bli.gov.tw/0102420.html  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q28,legal_guidance,勞工保險條例施行細則,勞工保險條例施行細則,5,True,True,1470,rag,摘要 - 勞工保險條例施行細則是依據勞工保險條例制定的，提供更詳細的執行規範。  檢查清單 1. 勞工保險條例施行細則依據勞工保險條例第七十七條制定。 2. 細則提供條例的詳細執行規範。  資料來源 - 勞工保險條例施行細則 – [連結](https://www.bli.gov.tw/0102421.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q29,coverage_guidance,承保部分-投保單位,勞工保險條例施行細則,5,False,True,2023,rag, 摘要 投保單位需注意申報加保、補正資料及保險效力的生效日期。   檢查清單 1. 員工到職當日需辦理加保。 2. 收到補正通知後，應於10日內補正。 3. 加保申報表應以公信力方式寄送。 4. 逾期補正，保險自補正翌日生效。 5. 投保單位負責人可用簽名代替印章。   資料來源 - 勞工保險條例施行細則 – [連結](https://www.bli.gov.tw/0102421.html) - 承保部分-保險效力 – [連結](htt
Q30,coverage_guidance,承保部分-被保險人,承保部分-被保險人,5,True,True,1647,rag, 摘要 - 勞保被保險人需符合年齡、僱傭關係等資格。   檢查清單 1. 年齡需滿15歲以上，65歲以下。 2. 需受僱於僱用5人以上的單位。 3. 確認僱傭關係存在。 4. 若被裁減資遣，需年資滿15年才能續保。 5. 離職原因需符合規定才能續保。   資料來源 - 承保部分-被保險人 – [連結](https://www.bli.gov.tw/0013035.html) - 承保部分-繼續加保 – [連結](https://www.
Q31,coverage_guidance,承保部分-保險效力,勞工保險條例施行細則,5,False,True,1973,rag, 摘要 - 勞保效力從到職當日開始，離職當日停止。   檢查清單 1. 勞工到職當日零時起，保險效力開始。 2. 離職當日二十四時，保險效力停止。 3. 投保單位需在到職或離職當日辦理加保或退保。 4. 若非當日辦理，效力仍以到職或離職當日計算。 5. 郵寄文件以郵戳日期為準。   資料來源 - 勞工保險條例施行細則 – https://www.bli.gov.tw/0102421.html  註：本服務提供一般性說明，非法律意見；請以
Q32,coverage_continuation,承保部分-繼續加保,承保部分-繼續加保,3,True,True,1742,rag, 摘要 - 勞保繼續加保適用於留職停薪、職業災害或被裁減資遣等情況。   檢查清單 1. 勞動契約仍存在，符合留職停薪規定。 2. 職業災害勞工，依職災續保辦法加保。 3. 被裁減資遣者，於離職退保後二年內再受僱後又離職。   資料來源 - 承保部分-繼續加保 — https://www.bli.gov.tw/0013037.html - 被裁減資遣被保險人繼續參加勞工保險及保險給付辦法 — https://www.bli.gov.tw
Q33,premium_arrears,職業工會漁會會員參加勞工保險欠繳保險費處理要點,職業工會漁會會員參加勞工保險欠繳保險費處理要點,5,True,True,3814,rag, 摘要 - 欠繳保險費會被催繳，若仍未繳納，將移送行政執行。   檢查清單 1. 工會或漁會會催繳欠費。 2. 若未繳納，會移送行政執行。 3. 欠費名冊需送交勞保局。   資料來源 - 職業工會漁會會員參加勞工保險欠繳保險費處理要點 — [連結](https://www.bli.gov.tw/0102452.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q34,premium_arrears,勞動部勞工保險局欠費分期攤繳作業須知,勞動部勞工保險局欠費分期攤繳作業須知,4,True,True,1736,rag, 摘要 - 勞保欠費可以申請分期攤繳。需依照勞動部勞工保險局的作業須知辦理。   檢查清單 1. 確認欠費是否符合分期攤繳的條件。 2. 準備相關申請資料。 3. 向勞動部勞工保險局提出申請。 4. 按照核准的分期計畫繳納欠費。   資料來源 - 勞動部勞工保險局欠費分期攤繳作業須知 — https://www.bli.gov.tw/0102449.html  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q35,premium_arrears,勞動部勞工保險局欠費催收及轉銷呆帳處理要點,勞動部勞工保險局欠費催收及轉銷呆帳處理要點,4,True,True,2002,rag, 摘要 - 勞保局欠費催收及轉銷呆帳處理要點主要處理欠費催收、呆帳轉銷及相關資料管理。   檢查清單 1. 催收欠費，取得執行憑證並妥善保管。 2. 發現可執行財產時，移送法務部執行。 3. 轉銷呆帳後，記錄收回數額。 4. 對於被保險人或受益人，電腦資料中註記列管。 5. 逾期未償還貸款的催收及呆帳轉銷，依本要點辦理。   資料來源 - 勞動部勞工保險局欠費催收及轉銷呆帳處理要點 — [連結](https://www.bli.gov.
Q36,premium_guidance,職業工會漁會辦理勞工保險及勞工職業災害保險業務補助作業要點,職業工會漁會辦理勞工保險及勞工職業災害保險業務補助作業要點,5,True,True,2273,rag, 摘要 職業工會和漁會辦理勞保業務有特定補助要點，需達成一定條件才能獲得補助。   檢查清單 1. 按時彙繳當月勞保費人數達計費人數95%以上。 2. 每年2月底及8月底前，提交保險費收繳明細。 3. 若有遲繳紀錄，需按月檢送資料。   資料來源 - 職業工會漁會辦理勞工保險及勞工職業災害保險業務補助作業要點 — https://www.bli.gov.tw/0102454.html  註：本服務提供一般性說明，非法律意見；請以勞保局公
Q37,premium_guidance,職業工會處理全民健康保險與勞工保險及勞工職業災害保險保險費注意事項,職業工會處理全民健康保險與勞工保險及勞工職業災害保險保險費注意事項,5,True,True,2608,rag, 摘要 職業工會處理健保、勞保和職災保險費時，需設立專戶，並按月編製收繳明細表。   檢查清單 1. 工會應設立會員保險費專戶。 2. 預收保險費需存入專戶。 3. 按月編製收繳明細表，送監事會審查。 4. 若有預收保險費，需依規定運用孳息。 5. 若有違規，可能移請主管機關查處。   資料來源 - 職業工會處理全民健康保險與勞工保險及勞工職業災害保險保險費注意事項 — [連結](https://www.bli.gov.tw/01024
Q38,loan_deduction,勞工保險未繳還之保險給付及貸款本息扣減辦法,給付部分-給付通則,5,False,True,1871,rag, 摘要 - 勞工保險未繳還的給付或貸款本息，可以從某些保險給付中扣減。  檢查清單 1. 若有未繳還的保險給付，保險人可從生育、傷病、失能、老年、死亡給付及失蹤津貼中扣減。 2. 扣減至足額清償為止。  資料來源 - 勞工保險未繳還之保險給付及貸款本息扣減辦法 – [連結](https://www.bli.gov.tw/0102418.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q39,fund_management,勞工保險基金管理及運用辦法,勞工保險基金管理及運用辦法,5,True,True,1500,rag,摘要 - 勞工保險基金管理及運用辦法主要規範基金的管理和運用。  檢查清單 1. 確認基金管理的規範。 2. 確認基金運用的規範。  資料來源 - 勞工保險基金管理及運用辦法 — https://www.bli.gov.tw/0102419.html  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q40,benefit_guidance,給付部分-給付通則,給付部分-給付通則,5,True,True,1288,rag,抱歉，提供的資訊不足以詳細說明勞保給付通則的共同規定。建議您參考勞保局的官方網站以獲取完整資訊。  資料來源 - 給付部分-給付通則 – [連結](https://www.bli.gov.tw/0013040.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q41,benefit_guidance,給付部分-死亡給付,給付部分-死亡給付,2,True,True,1571,rag,摘要 - 勞保死亡給付有特定申請條件與程序。  檢查清單 1. 確認被保險人在保險有效期間內死亡。 2. 如符合老年給付條件，可選擇放棄死亡給付。 3. 申請時需依勞工保險條例規定辦理。  資料來源 - 給付部分-死亡給付 — [連結](https://www.bli.gov.tw/0013046.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q42,disability_assessment,勞動部勞工保險局委託辦理勞工保險失能年金給付個別化專業評估作業要點,勞動部勞工保險局委託辦理勞工保險失能年金給付個別化專業評估作業要點（111年11月2日修正）,5,True,True,3861,rag,摘要 - 失能年金給付需經專業評估，符合特定失能等級者需送醫院評估。  檢查清單 1. 確認失能狀態是否符合「終身無工作能力」。 2. 若符合第一至第七等級，需送專業醫院評估。 3. 準備失能給付申請書及收據。  資料來源 - 勞動部勞工保險局委託辦理勞工保險失能年金給付個別化專業評估作業要點（111年11月2日修正） — https://www.bli.gov.tw/0102447.html  註：本服務提供一般性說明，非法律意見；請
Q43,special_work,依勞工保險條例第58條第8項訂定「具有危險、堅強體力等特殊性質之工作」及證明文件,依勞工保險條例第58條第8項訂定「具有危險、堅強體力等特殊性質之工作」及證明文件,5,True,True,3542,rag,摘要 - 高壓室內作業與潛水作業屬於具有危險、堅強體力等特殊性質的工作。  檢查清單 1. 高壓室內作業。 2. 潛水作業。  資料來源 - 給付部分-老年給付 – [連結](https://www.bli.gov.tw/0013045.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q44,service_years,勞工保險被保險人轉投軍人保險公教人員保險年資保留辦法,給付部分-老年給付,4,False,True,4022,rag, 摘要 - 勞工轉投軍人或公教人員保險時，原有勞保年資可以保留。   檢查清單 1. 勞工轉投軍人或公教人員保險時，勞保局會保留原有勞保年資。 2. 若不符合老年給付條件，年資保留由勞保局辦理。   資料來源 - 勞工保險被保險人轉投軍人保險公教人員保險年資保留辦法 – [連結](https://www.bli.gov.tw/0102444.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q45,disability_standard,各失能等級之給付標準,各失能等級之給付標準,1,True,True,2,disability_standard_lookup,摘要 - 已查到您詢問的失能等級給付日數。  檢查清單 1. 第2級：普通傷病 1000日；職業傷病 1500日 2. 第10級：普通傷病 220日；職業傷病 330日  資料來源 - 各失能等級之給付標準  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q46,disability_standard,各失能等級之給付標準,各失能等級之給付標準,1,True,True,2,disability_standard_lookup,摘要 - 已查到您詢問的失能等級給付日數。  檢查清單 1. 第5級：普通傷病 640日；職業傷病 960日 2. 第8級：普通傷病 360日；職業傷病 540日 3. 第14級：普通傷病 40日；職業傷病 60日  資料來源 - 各失能等級之給付標準  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q47,disability_standard,各失能等級之給付標準,各失能等級之給付標準,1,True,True,3,disability_standard_lookup,Summary - The disability payment days are available for the requested grades.  Checklist 1. Grade 1: ordinary injury 1200日; occupational injury 1800日. 2. Grade 15: ordinary injury 30日; occupational injury 45日.  Sources -
Q48,penalty_guidance,勞工保險條例罰鍰應行注意事項,就業保險法罰鍰應行注意事項,4,False,True,1229,rag,Summary - The Labor Insurance Act penalty guidance mainly covers penalties for fraudulent claims and non-compliance with insurance procedures.  Checklist 1. Penalties for fraudulent claims: Two times the insurance benefi
Q49,coverage_continuation,被裁減資遣被保險人繼續參加勞工保險及保險給付辦法,承保部分-繼續加保,1,False,False,2844,rag,"Summary A laid-off insured worker can continue labor insurance coverage if certain conditions are met, such as the existence of a labor contract.  Checklist 1. Ensure the labor contract still exists. 2. Confirm eligibili"
Q50,boundary_case,給付部分-給付通則,本國人與外籍配偶及大陸港澳配偶擔任家庭幫傭看護及居家式托育服務提供者參加勞工保險及勞工職業災害保險審查作業注意事項,5,False,False,3413,rag,摘要 - 如果資料來源不足，建議查詢官方來源。  檢查清單 1. 確認問題是否有足夠資料。 2. 若不足，提醒查詢官方來源。  資料來源 - 無相關資料來源  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
